(Do Not Modify) Business Unit,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Name,Parent Business
8f9e1155-4e5e-ea11-a811-000d3af43595,WSyHtrs+oYlNWh8EKZDhwGTXhFjuMeV2j79LpHK2ywxZon7IYZ5OlHLaqea4hH53DllXWOcYkpsjCbzW7FdXPQ==,2020-03-04 19:28,Abbotsford (SD34),Ministry of Education
52a96b9e-4e5e-ea11-a811-000d3af43595,9VxWAnMs7QeRaLmSHMP5eTkXJs5hLhgK9i4YAU/AZHLJQnn47QE5ZuL03hbSA9oQthNqDhTJWgLnvT20hpL8kw==,2020-03-04 19:30,Alberni (SD70),Ministry of Education
56a96b9e-4e5e-ea11-a811-000d3af43595,mePp73zpbFxZ9dn5HYuVOeg1fkP6BUo+kuZLCnGftaYM/0fjL+2+fC7xhfCKYM26OduF2A4bSv16e1neCu88+w==,2020-03-04 19:30,Arrow Lakes (SD10),Ministry of Education
5aa96b9e-4e5e-ea11-a811-000d3af43595,8rWQIfJDy3u8GcB+x1XqcMXW8AewEgcV+C+Vv/aQiFs8zbGnPaCGH+10K5x03KJgcT/L/nSLHJ4dm9WMzUEbKg==,2020-03-04 19:30,Boundary (SD51),Ministry of Education
5ea96b9e-4e5e-ea11-a811-000d3af43595,kshwOj3D5NDY7tBJFageDDa2M28x5lL7JWeUAg61ZwMtaWfocUNTmIskTsqh7Mz3b3qxw40+t8VKtUEDHGw9bg==,2020-03-04 19:30,Bulkley Valley (SD54),Ministry of Education
62a96b9e-4e5e-ea11-a811-000d3af43595,FvqfmE8XtdaoXxP2z0lU7aS8t4US02gknVW67rygXY9G4BIOzo/MGjKX5iSINzHAJaNax3f0iPUivmhGHMXHjQ==,2020-03-04 19:30,Burnaby (SD41),Ministry of Education
66a96b9e-4e5e-ea11-a811-000d3af43595,fY3zCmWdNpkq4Eh+gNE0NIYH2+aPvv1x6jop/Q6TUChw6cXxNTFgfQhTnQluo5xE7OxkuBOR3qZ+kRmyB6Rmwg==,2020-03-04 19:30,Campbell River (SD72),Ministry of Education
6aa96b9e-4e5e-ea11-a811-000d3af43595,3cwQ/IRf5KrWEf9BbOF2NeVQ+Vb+8czSKz4Yw7OKzmqa5b5x7TknZ+gtCV43UjphNH+xP7UKkbMCOeMPocj2JQ==,2020-03-04 19:30,Cariboo-Chilcotin (SD27),Ministry of Education
6ea96b9e-4e5e-ea11-a811-000d3af43595,EqcEn1vZ74xtWNb7T4E3+A0cbZhj3SoF4+XT4GevZLrVYGdPjOr60sjyDSGndP/179G2JTgwpcsEP5aNzgDXWw==,2020-03-04 19:30,Central Coast (SD49),Ministry of Education
72a96b9e-4e5e-ea11-a811-000d3af43595,fE28JB57nhTcg58KngLQnfYZTYa7y1xmrqmyMQYNet4NlrMASAvnELxkOU89sL/cWAOOcNYLU/gmvPAVUfYKag==,2020-03-04 19:30,Central Okanagan (SD23),Ministry of Education
76a96b9e-4e5e-ea11-a811-000d3af43595,/Rq9eeoNGbqFGMoVMOj1XVl9AwQzgWnVf2tpiJQ6+UPR6kHN1nbU+nb2RBqgwCyCk55AoGiVQ3wHuiX7FzUU9w==,2020-03-04 19:30,Chilliwack (SD33),Ministry of Education
7aa96b9e-4e5e-ea11-a811-000d3af43595,f4FxwyyFyVPFggXhgEE11giLviupyHpY0LGuBKKdaa6zLivfUofCN//Ph0BwZwacM6ZK+8A/V8eyJ6mtfrj2oA==,2020-03-04 19:30,Coast Mountains (SD82),Ministry of Education
7ea96b9e-4e5e-ea11-a811-000d3af43595,DZ0yBvAisHNyi7HyK/KlF4VhOnBPUTpGz9ODoWISIz9Brr9LgXaRTf21bVaLseQXr15wsB8Fa0hkSLkGfLCCSA==,2020-03-04 19:30,Comox Valley (SD71),Ministry of Education
82a96b9e-4e5e-ea11-a811-000d3af43595,ehj5Etg7zOh5yvq6W1JSxGo1+aWXg5DCX3ixJgKEeG0w8M2OA61Im+BH1H4c8GpvDj/sfcTHDb92KiFZ8Iz+6g==,2020-03-04 19:30,Conseil scolaire francophone (SD93),Ministry of Education
86a96b9e-4e5e-ea11-a811-000d3af43595,uwzNdt/RMj8OirzB+jlzGd1LjOAA3ZAf55Dqql6PSQYG3RlQTYWuIA0uW5MKmKmBvpcAzGLXwvrkyCuXcF+tIA==,2020-03-04 19:30,Coquitlam (SD43),Ministry of Education
8aa96b9e-4e5e-ea11-a811-000d3af43595,MRBlb56BeszK7fydHS4Eg97Nbn94QfGhMRXzUVS+iqkE6MlrqXsQDFatWc9YMHKitP2VmR9LfCKt8o/GpMCb2Q==,2020-03-04 19:30,Cowichan Valley (SD79),Ministry of Education
8ea96b9e-4e5e-ea11-a811-000d3af43595,DRpJUEqXZ1+VT+zoUF2W7EiE8eLEMXED0/wBTTriAG6QvBDRam4HiBERejn+Y9cBQof3CXZ28XIod8Mqjm0Ang==,2020-03-04 19:30,Delta (SD37),Ministry of Education
92a96b9e-4e5e-ea11-a811-000d3af43595,MkSNsXiv+0g4GtzCPs8l++DNQ949hA21nA5NtbPcTWZHV07sMnWhTGvJx9+oq08N44qI/7VME8bvso6nrl4J6g==,2020-03-04 19:30,Fort Nelson (SD81),Ministry of Education
96a96b9e-4e5e-ea11-a811-000d3af43595,64dMmxvS7QXTucZY/a79e8y5pe5fBnWLYaAlusADyqKp0lZuGwjIFe08Mn1zy1qIfePsHiLTB5EhpZ5bvz7DGA==,2020-03-04 19:30,Fraser-Cascade (SD78),Ministry of Education
9aa96b9e-4e5e-ea11-a811-000d3af43595,ozIkdAnErSzZ7/7t+7Z1DoTA6I+TEglIFbyIvWLYhf1Y/VI1dpZo9RWX0DEsPu9X/J0dQuJMNgqWnOi67Kr3vA==,2020-03-04 19:30,Gold Trail (SD74),Ministry of Education
9ea96b9e-4e5e-ea11-a811-000d3af43595,yuzXS8L4eW/V982dtvmuEAZZNYSdu+JMuVjqgvUWucROODsX4maCP0/ISG6UgU9xR4Kgk6w8GgZ6PONex+4Ugw==,2020-03-04 19:30,Greater Victoria (SD61),Ministry of Education
a2a96b9e-4e5e-ea11-a811-000d3af43595,HZTObDFtq6GAnV8m41ly62Uk4gyOPMuYFEyhlEyA71q2IFCu5VxGpQwmo3C4HcG+q4UXJSwIziJD2F53T6HVdA==,2020-03-04 19:30,Gulf Islands (SD64),Ministry of Education
a6a96b9e-4e5e-ea11-a811-000d3af43595,eMRxllnJRANlt5HSRajijUudfVGdOMEjjhMHY10TkBh1uv/91U6dc8yhpNkvR5JOt6aQWzaDpWH02B5meGDKrw==,2020-03-04 19:30,Haida Gwaii (SD50),Ministry of Education
aaa96b9e-4e5e-ea11-a811-000d3af43595,yUraLyQ2Sm2Zfv0mRL7ETzW0pp8EKGTflCKbq/Dx1rF6uLT/KWrWDwJuiHq7c8KVPpiifcY//5dYUOqcWYDGtA==,2020-03-04 19:30,Kamloops/Thompson (SD73),Ministry of Education
aea96b9e-4e5e-ea11-a811-000d3af43595,4L3sWyxehQWNVdN5DFX0eJt+qmEXgjhXGTSHtxPe2IBX+c64LWbxZUb/Ea3T2jiQrMdc/hl19AGpTha7o4nipg==,2020-03-04 19:30,Kootenay Lake (SD08),Ministry of Education
b2a96b9e-4e5e-ea11-a811-000d3af43595,okpUBSRC0nn6K+vvkDZ31+IWxiPNoRc5TXFdBUAWcs586RbPUq1j5wAzSFcJQS8K9Cu3ooTX649Cm8LYBxyVgg==,2020-03-04 19:30,Kootenay-Columbia (SD20),Ministry of Education
b6a96b9e-4e5e-ea11-a811-000d3af43595,+3I5RcEgikI+EMVu9s3HDa+X6lyGX0T1mMF2nBBGV4l4s5xwzwC8+oRVZejtBFziuqQWwSE4i3W0wViUzfMsmQ==,2020-03-04 19:30,Langley (SD35),Ministry of Education
babfbbed-4e5e-ea11-a811-000d3af43595,8mdumKA5zRkHe31yPc2qzLfqAdeF8oIfCVQh1skNhXS4aZSaeIDmiWxB82qxUmg8oMUU8EQbBwaDDVFK4jNT3A==,2020-03-04 19:32,Maple Ridge-Pitt Meadows (SD42),Ministry of Education
bebfbbed-4e5e-ea11-a811-000d3af43595,+KFUh8g9cG6l1g3q5WDkxUMitiatQS2sTAH/IxKOz8dgphHsWwJd/lYadyAgzFtO/uUzK+zyb1Gx0gZnuO8SAg==,2020-03-04 19:32,Mission (SD75),Ministry of Education
c2bfbbed-4e5e-ea11-a811-000d3af43595,Ju0Pd7JchMJHazjDzhBaJtUTr4vCJ9/lDx3rU1yrHZE7TZir+dL9lsKwaoWIC7claU/SRi5abrnKuw5SFg3EbA==,2020-03-04 19:32,Nanaimo-Ladysmith (SD68),Ministry of Education
c6bfbbed-4e5e-ea11-a811-000d3af43595,DBeUEg/JGj2VfXruiHTXHnbur6Rqr7aH9HkVy/5Y6+s/MwQg3oNPUhkIuQyFVhGRE3fhhP/OxFTJw/He9Q78YA==,2020-03-04 19:32,Nechako Lakes (SD91),Ministry of Education
cabfbbed-4e5e-ea11-a811-000d3af43595,/G6ss3foEspFoMvUijMCmI1UNfA3nNUNnRbuyDugaKgWpLBndQoe5g+P2DsX6aMJtR4GzAGqSzu0NJrAg6b5Uw==,2020-03-04 19:32,New Westminster (SD40),Ministry of Education
cebfbbed-4e5e-ea11-a811-000d3af43595,ab6zl5qql79ntT0Ky0NJiizAxDkE8pgZBF8s90zqUvt3DMqC98sfeYgIUxmLoolRipJEIC4cvLqxavCYSsiJJA==,2020-03-04 19:32,Nicola-Similkameen (SD58),Ministry of Education
d2bfbbed-4e5e-ea11-a811-000d3af43595,o2k8EuUJOYqWCZChkj/vIMx9BlN72KirVYgJsmUHcwSjyFFFmlIAhwH3xYWTz4GuzJ0raOwy23wMBVaeT793SQ==,2020-03-04 19:32,Nisga'a (SD92),Ministry of Education
d6bfbbed-4e5e-ea11-a811-000d3af43595,39flIrHa5CBjih87weg5PaO+2Va6NoQYtcTJCuZaR4lIiYP8cilPRPxkMzOfvZKZzHlEhtM7lg/wVa0Anpl1qw==,2020-03-04 19:32,North Okanagan-Shuswap (SD83),Ministry of Education
dabfbbed-4e5e-ea11-a811-000d3af43595,vmEnYkdJPP1WxhRtzwHE3hvQJCUHCM3yr45sh1rArglFNom5mzXlDyyrdP3QXq6aLJHeGh7BqBQOKYBhE2t7Jg==,2020-03-04 19:32,North Vancouver (SD44),Ministry of Education
debfbbed-4e5e-ea11-a811-000d3af43595,2ZQFIkO4+Dl5LsNkvGnscTaDvyXvjZ/2zWFRVdvwXjyEGiFZToKCTMEwXlIpZsOwHMJ7/1Ocgt7iiSxgt2s14Q==,2020-03-04 19:32,Okanagan Similkameen (SD53),Ministry of Education
e2bfbbed-4e5e-ea11-a811-000d3af43595,yJj1clmqRYIoAZs3gtZ2pASGw3iu1sRE3ncA4xcnhFEHFF6/US8e+xQyxuQ9o5ePzx/sxZXyG5/vHvCp0KjZjQ==,2020-03-04 19:32,Okanagan Skaha (SD67),Ministry of Education
e6bfbbed-4e5e-ea11-a811-000d3af43595,NqjjxTBNjKzWJ8upw+HYms/kCc85N8Ob6C9+Rmo4JJDkA3DBeibPNHVFlnQ2KGvu45kYKS5IB2oHdX+LX+C4Rg==,2020-03-04 19:32,Peace River North (SD60),Ministry of Education
eabfbbed-4e5e-ea11-a811-000d3af43595,09CN+psyLSUHhu1hyKXx/zCbik3+mmORWco5yt00HN8RHPZN1aIG8p3RFrKrzw3WPgf2t0us6pi//hP2ARmcZQ==,2020-03-04 19:32,Peace River South (SD59),Ministry of Education
eebfbbed-4e5e-ea11-a811-000d3af43595,PAfA6BGFM87VtoFyk39qgW6A8WJA3neLoojF2fYSVjwNvYUU0yu+wYWcjyAko2Uflze122/+2p51RW5v4X5QSw==,2020-03-04 19:32,Powell River (SD47),Ministry of Education
f2bfbbed-4e5e-ea11-a811-000d3af43595,y9hw9UYkFuImxJt8FAuy/g3+yum8mx5h6iagxd1PArc3VLNK0wbYlLcmiSZEyndZeKQCwL1R6Rfijdjx2T8s8g==,2020-03-04 19:32,Prince George (SD57),Ministry of Education
f7bfbbed-4e5e-ea11-a811-000d3af43595,rpIGz3k/BKc5KddYMv25TB01uVYJIbmPrCEactz8s7y1TlXxDvrC+HkEtLYT4CgnOrGdcVtWHAFTeXhrGZ95vg==,2020-03-04 19:32,Prince Rupert (SD52),Ministry of Education
fcbfbbed-4e5e-ea11-a811-000d3af43595,FZmYEL0A9D+Pw/wjApXN8brJ9uYNiI0bHBYYEIffpZ6n4V3hEMIpHFY6CYpiK6Ao80TtUTyj/eQcOGZ3geMkrg==,2020-03-04 19:32,Qualicum (SD69),Ministry of Education
00c0bbed-4e5e-ea11-a811-000d3af43595,SlSn1gYNxh2UBxjv4wcW48/cm2pNGjpQmKLTvCuog05eTznjwh60huRjf0c1h3gZ40KJQjLEqcFCqfaexKP6VQ==,2020-03-04 19:32,Quesnel (SD28),Ministry of Education
06c0bbed-4e5e-ea11-a811-000d3af43595,zuBNI5mfKokhT7JBrTKxZ38PD7Rer0unNUuAu1S+4exRs4c1/bhQboQiL2jR1dh99Siayq0hHu7unqWF85284w==,2020-03-04 19:32,Revelstoke (SD19),Ministry of Education
7e663aa1-2c58-ea11-a811-000d3af43595,I5vOdMzzoXoCCHY0+tFxxceqb9NJbzbICK//+9dY2nwzW+AVVIt1AJhbMPaL7xgM7GUdbRchP/Ifm0KVzeFkog==,2020-03-06 18:57,Richmond (SD38),Ministry of Education
0bc0bbed-4e5e-ea11-a811-000d3af43595,5pCV8zG0dXU001yDNfpueR2SaiDL7VfuBBNX7dxGMn5Y98WLe6XaqrkcK8GfSkl4aQkOpmZ6UQSyc3baUYJfmg==,2020-03-04 19:32,Rocky Mountain (SD06),Ministry of Education
0fc0bbed-4e5e-ea11-a811-000d3af43595,F82s80wo+yeMaShnffCs0LPSY6N8IY8HWalY6F4EN3do2Pvm6hGpQ2y6Q9JCf55KjZ2G1mZWjtehE7/8HBCfXw==,2020-03-04 19:32,Saanich (SD63),Ministry of Education
13c0bbed-4e5e-ea11-a811-000d3af43595,+p0wM8+y5H8tW/K4deq55KJbNXvuQI6obDKTym7a9YpzXMCVzikHHLW1rf+vBjUyPCdZEEoA8jIy///LKbJJ2Q==,2020-03-04 19:32,Sea to Sky (SD48),Ministry of Education
17c0bbed-4e5e-ea11-a811-000d3af43595,oUg42L9qFdguWOI+3zO1Zp2vlTR13VnsXC0YBDB3Qb/KhZ31U246fV1/2jGpmh7Y0olGBcVA5nWH1HHO7Paunw==,2020-03-04 19:32,Sooke (SD62),Ministry of Education
1bc0bbed-4e5e-ea11-a811-000d3af43595,6htyo+v/jfqK9G/wEDgyCMzQWD7mXAX7QpoSl9OcPLp4YVBh+MJauZP+Xb7lAtI+jN1YQX9qp3QQOGDH2wSe+Q==,2020-03-04 19:32,Southeast Kootenay (SD05),Ministry of Education
20c0bbed-4e5e-ea11-a811-000d3af43595,vj6oK6nd0wHMaH0YN+N9s1+dKWpoaABMEEOa2ddAmbDoLblSQ28nH9HCz97J5CiCWObzqFwOtDhg9yh+3X9tVg==,2020-03-04 19:32,Stikine (SD87),Ministry of Education
24c0bbed-4e5e-ea11-a811-000d3af43595,ZlHcdmx/XEnmit1auixiG+VquVF+8Jx9k5k8aIZB3e/VF1BgX++5D6qiA+IFctyBQyyth9TQRxo7MTcWX4dzJw==,2020-03-04 19:32,Sunshine Coast (SD46),Ministry of Education
29c0bbed-4e5e-ea11-a811-000d3af43595,GwJsI9CNOzJWLqT49PGbQg4oKx4B8ezoyv3qhoLUVO6/1wDZhYIKzz/gZnO1fhR4+PB9FPehWjrKzPQ9gJaQ1Q==,2020-03-04 19:32,Surrey (SD36),Ministry of Education
2dc0bbed-4e5e-ea11-a811-000d3af43595,2RKH0Meku9eDXeiZz2yi0gPxQe9M5yb378ZmQAaN7cUg4CXBxzDPfq5Pbky8BVaZ7FgqUviFEoUQ4xHMnIrUug==,2020-03-04 19:32,Vancouver (SD39),Ministry of Education
31c0bbed-4e5e-ea11-a811-000d3af43595,7o4BwRzv+4lrPLI5hLUig6VYfO3o9GijNsQclByG//jy5CDeXzbkOEr17sOfO7rRAlC46tmnioud8G+n76fN+w==,2020-03-04 19:32,Vancouver Island Region North (SD85),Ministry of Education
35c0bbed-4e5e-ea11-a811-000d3af43595,UFJv3kXO6ICgqYxz9U8+2RPiXIdVEOrFdfaEFu+sYwzr6YaIXyLIg4lbLl62GgTj5sPGspxN1tLxunfz6oDnzw==,2020-03-04 19:32,Vancouver Island Region West (SD84),Ministry of Education
39c0bbed-4e5e-ea11-a811-000d3af43595,jzlD/MQQcCXoZGi62rUhC6rn/tP5GJRID3EcnmuTTVkl8/y6vHPUWWUh/ChoK2NzX3zD045itM0K/6B4rSHKpA==,2020-03-04 19:32,Vernon (SD22),Ministry of Education
3dc0bbed-4e5e-ea11-a811-000d3af43595,irKUyzW/Ny9XFCH1RtLZu37oPVhRtXzNTK+k79S2aJMcg+2N8Ze8A2mEck5YVb1KP3DcsgOjZe9HknC26GmrEw==,2020-03-04 19:32,West Vancouver (SD45),Ministry of Education
