(Do Not Modify) Project Type,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Type,Submission Category,Budget Calculation Type,Owner,Status,Status Reason
6c2947e8-9fa6-ea11-a813-000d3af42496,QYGRZsGKVl/ZTn84HjOfNnUMnwlh59JAi4rMXM5phRMv221Es1ODI//lWC7iqtLOYkdFYNeYKLrUvCU1pfZYag==,2020-07-21 20:22,Accessibility Upgrades,AFG,,Albus Dumbledore,Active,Active
cca9aaf0-8fcb-ea11-a812-000d3af42496,2MUzvfcCyE4tMGuHCNe4B2u/dAaegONY/FNFifAql62FQ+Kks/2HWTxzFwGl+22f+ckCH+mNsezpSCnYIA1fVQ==,2020-07-23 16:38,Addition,Seismic,Partial Seismic,Albus Dumbledore,Active,Active
beefb293-ae59-ea11-a811-000d3af43595,Zo9xRCANinS1pO8Uqbqjtg4Od+d5DNHv7KWDz8JS+lvN9sG1cgHGaAIGzQqmJFhYRNv/KQpxvAL5Ubpa9EyPiA==,2020-07-23 16:38,Addition,Addition,Addition,Albus Dumbledore,Active,Active
6f2947e8-9fa6-ea11-a813-000d3af42496,iKSp7qNPZnw5F+NHDUphw6C08rYfBiXV0x1ukPLvNlWXzRvMJbyeIEEuksnM2upW5fEyc5YH3mJGzUX9O6f7KA==,2020-07-21 20:28,Asbestos Abatement,AFG,,Albus Dumbledore,Active,Active
52eeeb66-90cb-ea11-a812-000d3af42496,UqRblvGdc3xdkvr4eNjA7bwM6vFj8wFO8Hh/EhWFS1oMoKXlpjNrl0w/VnY1kAooL0+GXsw3Bc9oRCkcoticyA==,2020-07-21 20:26,Electrical,CNCP,,Albus Dumbledore,Active,Active
fe129a9f-90cb-ea11-a812-000d3af42496,1I320i1A8cNze5MXwLJJrl8zgghs77w0RHuheZLFpKp4t2fWJg+k+b9F3QrzgvZLndaml2vbJLbfB/KEIIQHcQ==,2020-07-21 20:27,Electrical,AFG,,Albus Dumbledore,Active,Active
ac3ac7df-2662-ea11-a811-000d3af43595,gDLFSPb6jXGpISigiuw+33B0TSsuuOKNmauS2BN10VMNh14+dLXT7J6pN1QbDiQg3kDvbdYcX1xYluDgefsePw==,2020-07-21 20:25,Electrical,SEP,,Albus Dumbledore,Active,Active
1f5fbfe5-2662-ea11-a811-000d3af43595,+EyDAX1hSQRfwZiSLlxYB2iYIYCLOOdc0dRU+N10k7bGNfSy0bqCq7uVBB/FqJsBtTqaRoempUHn7kQPkjCS7A==,2020-07-21 20:26,Energy,CNCP,,Albus Dumbledore,Active,Active
2c83cd60-90cb-ea11-a812-000d3af42496,Grvp8gnDoYX3xzqyyy4L40UXri70S1gun2NZ84c9Gr4OQbJsFUcdxahoPHOwBLZW9bV40TlDcTs+d6FO9wDjGw==,2020-07-21 20:26,Exterior Wall Systems,CNCP,,Albus Dumbledore,Active,Active
3fa53592-90cb-ea11-a812-000d3af42496,1OlucPq0E53UaLlG6Ok2PQPBvtJ1Jf/5a5Dmy0kyBPNRKc72/TCTnS1S8MBFnyIrZ+hQ9EcHRNtLzFEJv1D1/A==,2020-07-21 20:27,Exterior Wall Systems,AFG,,Albus Dumbledore,Active,Active
b481d0d6-2662-ea11-a811-000d3af43595,tJP3JLtfkOUPCzLJmWRmMuZtT8QZNC6zY/O6XSQ2uw6Y27syx15ZJJOMMJ4EMlXhuiDPXg5vmbuPOOKPQWUbeQ==,2020-07-21 20:25,Exterior Wall Systems,SEP,,Albus Dumbledore,Active,Active
0b5be3ee-ae59-ea11-a811-000d3af43595,SSxq64IibzLlS4DwtMC2suQp+algsU1U4LmrvZRdh9oe93wqSg+UXenqfmuAEzz6sOc3N8aezGKn0LiK8JJI8w==,2020-07-27 17:40,Full Demolition,Demolition,,Albus Dumbledore,Active,Active
f0f89d21-90cb-ea11-a812-000d3af42496,pd7Hbw/UvWO3WisENUrMFzHRgZCkOnyvlkz0s1WoP76PjevziwZZeB0ZcDC+AWa0ED28gsOY5z6czEDw7A8wFA==,2020-07-27 17:40,Full Replacement,Replacement/Renovation,Replacement,Albus Dumbledore,Active,Active
8d07e46a-e358-ea11-a811-000d3af43595,KV7lS6QMeOcF+w9md3mNMAvEToOapSikkNjJEE9VOQWxbyjobgddpC61QZmKNfLhKj1ZdeRoFDPwlWSs02QfRg==,2020-08-04 20:13,Full Replacement,Seismic,Replacement,Albus Dumbledore,Active,Active
187dc873-90cb-ea11-a812-000d3af42496,rKmhrlkkHjv/yRl5UeA6JuKFjiBWoXoaWzCl1Xl7YykOToQSIjgEoo212W3pnf5Czc6plyoCeJP3iLCRPLdhoA==,2020-07-21 20:26,HVAC,CNCP,,Albus Dumbledore,Active,Active
e535c9a5-90cb-ea11-a812-000d3af42496,SEqVkmPB03u9mczv10jIUxEg5G7tENfR1rZIMHlqYsvVyDome6lXB9FI+QbQxvcL66DuJUVQKfoGmIsMupsFgg==,2020-07-21 20:27,HVAC,AFG,,Albus Dumbledore,Active,Active
862903f4-2662-ea11-a811-000d3af43595,rLW5HlVQeWqZKBRI5pAalaVBfphMYeKAc+nqmrbEC0JT2uNhgotosgoiysOL/rTUphrZRR83tb4A+dNgEx3nVA==,2020-07-21 20:25,HVAC,SEP,,Albus Dumbledore,Active,Active
3136c9a5-90cb-ea11-a812-000d3af42496,T3grOpff5tmLhPRBdY6D3/z94RyII5DBB6jxl9qk1mLVRV1Lq6PYFklK8egJdwqkZkrTJ9uk3QJxSsAWqhNK5g==,2020-07-21 20:28,Interior Construction,AFG,,Albus Dumbledore,Active,Active
a1675201-2762-ea11-a811-000d3af43595,6GxBfk/Aq5+OacnsaQctLciHTQyyWzS0xY7+eJ+DUjWYHAD6yow9oqrFbnFiwNVfm68bABFT0TX8PLwLqfDxdw==,2020-07-21 20:25,Interior Construction,SEP,,Albus Dumbledore,Active,Active
386f0c80-90cb-ea11-a812-000d3af42496,Mk4R/Uu9N2aaztFd976Tmes5XC3xHgDb1oZvQP0yAtq+5Xu3bI8/2p5MfxkvbXtfctXJLDvGenBXsMYrYI3pcg==,2020-07-21 20:26,New,BUS,,Albus Dumbledore,Active,Active
1553ff8b-90cb-ea11-a812-000d3af42496,OqxiSlvEzbh0pG9i7JWdWia4wBlWhywfXH6pnUgUXKq+pKW/FZ+osoVDRlK56qBmrMpQWkmsX++HxIxND+l86g==,2020-07-21 20:27,New,PEP,,Albus Dumbledore,Active,Active
4ee904ea-8a52-ea11-a811-000d3af42c56,akVFc7WhdQVfrpyweettLJxLd88Pb8tyHA+rJ2uajdsiwmRSlVAaCf1v5JjDPZLTB0YpfFc2aFaOrWPTACBJpg==,2020-07-23 16:39,New,New School,New,Albus Dumbledore,Active,Active
dea4561d-2fd0-ea11-a813-000d3af43595,3Dmn452WT+rhdpcUP6nMq/e1Prs2kySZyy5tV84oxJnreP7sKve76ma2Fh6O6sRxR3z0DcBYXWKbsQwlhhMxIQ==,2020-07-27 17:32,Partial Demolition,Demolition,,Albus Dumbledore,Active,Active
087506cc-2ed0-ea11-a813-000d3af43595,Jh2B1iQIUDUobf4dd1fIm5+gZqVrLXTpaj2hMNnAB9d+IzxT09fJPQjnaPgEmTN86m+m4urOr02g8JLutIZJ+g==,2020-07-27 17:30,Partial Replacement,Replacement/Renovation,Partial Replacement,Albus Dumbledore,Active,Active
cb1de4e5-8ed6-ea11-a813-000d3af43595,hLjJ5aWnNuc49Vjqg62zVgilJ1y17G66lk+0eqEGD15qcyrQbYrAujmx993j0VcdI3AndZ05JeFONQHyKdIfcg==,2020-08-04 20:13,Partial Replacement,Seismic,Partial Seismic,Albus Dumbledore,Active,Active
5dee7c07-2762-ea11-a811-000d3af43595,2c3nJTPHh+kUR3Zw7TnjlmED/Yl8fOwjmMi9kZMtmeoPznyJzspxodWH+B+aaVrjKMDG8fwCRgOovIa3+g3WAw==,2020-07-21 20:25,Plumbing,SEP,,Albus Dumbledore,Active,Active
d96e2c3b-90cb-ea11-a812-000d3af42496,OyFA0Rpyh+wY0KVTCvR4ZiS9iZArTB4ZNPEYR9LJhjrYd2uV+T8hgdxmU/wlw+2XXRujNEybE2VfgxsChfXU/A==,2020-07-21 20:24,Renovation,BEP,,Albus Dumbledore,Active,Active
af81d0d6-2662-ea11-a811-000d3af43595,u51sxb6tYlM/orgv29+mnuORYbegpf53yxTCNTnawA2gwlV9eZVOeITzqIJQixtL5ZFvZnKPtijFRpPEU8mMpw==,2020-07-21 20:24,Renovation,Replacement/Renovation,,Albus Dumbledore,Active,Active
8843ca79-90cb-ea11-a812-000d3af42496,ah/3Vpue7m1IFJnLZ0T+YN8Jcnt5RnGAWfV8n5p9vcXLRWiw1dB7qVRu0orZp3AuGoTiOr4suGBof0DFtWiL2A==,2020-07-21 20:26,Replacement,BUS,,Albus Dumbledore,Active,Active
40110786-90cb-ea11-a812-000d3af42496,e+l57NqsLDdUKKh9UYAmFYEvtUui7jMyHtsWFHII/zci96jwHePtnR726gYnBOKV5cq3mROoYgSBJpR+nazQ/g==,2020-07-21 20:27,Replacement,PEP,,Albus Dumbledore,Active,Active
15ae5c99-90cb-ea11-a812-000d3af42496,SZAtpC8jlmVYdOGMJO2Q8zwtOiqLw4gzXz0YEHt1VnR6vZ2A/BvCEUBOvsF1hImR+O3uCb9c1Zye+JVwS5KX9w==,2020-07-21 20:27,Roofing,AFG,,Albus Dumbledore,Active,Active
aa3ac7df-2662-ea11-a811-000d3af43595,zkJkfxBnLXc1HXcAookVPZPMo4iGy0N1Iip4dNAaZFEW1h9EX161uPNEG8QAEOqGQpZkduKv/QwNub4GkKVWLw==,2020-07-21 20:25,Roofing,SEP,,Albus Dumbledore,Active,Active
8424c3bc-ae59-ea11-a811-000d3af43595,QlpLpixE9FX+iTsghKapJ6pa11o67AmEuQ9OqcwN8L7ZkLhqKN+P56S0O0mn7DXEBJ26cmyBe25fGPVhDnElwA==,2020-07-21 20:23,Site Acquisition,Site Acquisition,,Albus Dumbledore,Active,Active
a45597e1-9fa6-ea11-a813-000d3af42496,sjT2lyL5dZr5lMqD7jKbuABiAIHi5XiUu6ZrZiZyaWRP54i00XzX8dONkrSGujhlcn73Zl2pq3DAMPsQKIRLzQ==,2020-07-21 20:28,Site Upgrades,AFG,,Albus Dumbledore,Active,Active
7e7d95d0-2662-ea11-a811-000d3af43595,rIzbHs/OC2IK3B/VxPoaqOfIMskah40dd83k8C2j232oLxwbJoT82ZLvYWBYe5eM7QGYPHEyvj+2rb0QpZMzkw==,2020-07-23 16:39,Upgrade,Seismic,Seismic Upgrade,Albus Dumbledore,Active,Active
