(Do Not Modify) School District,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Name,Number,Region,AFG Funding,Common Name,Freight Rate Allowance,Internal Code,Owner,SD Default Team,Status,Status Reason
89505cb1-2254-ea11-a811-000d3af4316a,55uIpc0bguwSWuH3moBC0kZnIGawp4kedMBqF1WYIjf/THoG11RPH4U3hTIxycextJlfJ058v+VEF55/ThpTuA==,2020-08-31 23:08,Abbotsford (SD34),SD34,Fraser Valley Region,0.029451203,Abbotsford,0.00000,034,Abbotsford (SD34),Abbotsford (SD34),Active,Active
c9505cb1-2254-ea11-a811-000d3af4316a,wmSFpm8QdPlRMSsS3TgSbM4dGcCDDXvP/Jy6NcKEOqGBdodUnICKYXl6l2X8fikK0TO20u9+x33iSXCAZZhXOg==,2020-08-21 18:40,Alberni (SD70),SD70,Vancouver Island Region,0.009013262,,0.03940,070,Alberni (SD70),Alberni (SD70),Active,Active
79505cb1-2254-ea11-a811-000d3af4316a,4M5Mw/KalTWievUq+NYH4i+YS9ylHsGSH+rf8UGKCLCH/MOVSO8jsD3RXzTE6TOT2a9dA3B41+rsjbAqqbX6MA==,2020-08-21 18:35,Arrow Lakes (SD10),SD10,Kootenay-Boundary Region,0.002658119,,0.09047,010,Arrow Lakes (SD10),Arrow Lakes (SD10),Active,Active
ab505cb1-2254-ea11-a811-000d3af4316a,ODl4Wx6MVsZnj7+Pk93irDDu10wN9kRwdg6Xb7o0LVKusBELFmz7OWQZcxkLj8mzNzRoOeVLbRp648843+COcA==,2020-08-21 18:39,Boundary (SD51),SD51,Kootenay-Boundary Region,0.004824288,,0.08609,051,Boundary (SD51),Boundary (SD51),Active,Active
b1505cb1-2254-ea11-a811-000d3af4316a,kcFF7UV8m4JwKQuiEjkTaNcLe02+JBY3LdbQojciYYmcVqroyG2fuNfX9AnqW6xgzXw4IKjSEjFiJm3EiWvkRw==,2020-08-21 18:39,Bulkley Valley (SD54),SD54,Northern Region,0.006029183,,0.11490,054,Bulkley Valley (SD54),Bulkley Valley (SD54),Active,Active
97505cb1-2254-ea11-a811-000d3af4316a,HjO9dRbvwWYLD0cqviPozQ8Vm6+fQeqHHBbt7jnuhni0CiZTsls9KtXkn4/8lsWNG/VzYFOFCIvvzExMFhTsfQ==,2020-08-21 18:37,Burnaby (SD41),SD41,Metro Region,0.039621548,,0.00000,041,Burnaby (SD41),Burnaby (SD41),Active,Active
cd505cb1-2254-ea11-a811-000d3af4316a,trrxT9D8xsJRGcWzjaarikcsp7xaU0HHgK6dd6YuWWRMLvEwTBWfYUGCE05UqwNRiWTbsgElBXhIAfqxD0lZFQ==,2020-08-21 18:40,Campbell River (SD72),SD72,Vancouver Island Region,0.011199025,,0.05238,072,Campbell River (SD72),Campbell River (SD72),Active,Active
83505cb1-2254-ea11-a811-000d3af4316a,6fZisrseGS1y+dQtfw7Hj8Co/qv6lZmU/hKc3rH2YSYQOh0SyHcd2pHZUejXtXcwzrhWH5N3w+YQM9oH75N29g==,2020-08-21 18:36,Cariboo-Chilcotin (SD27),SD27,Northern Region,0.013268386,,0.07403,027,Cariboo-Chilcotin (SD27),Cariboo-Chilcotin (SD27),Active,Active
a7505cb1-2254-ea11-a811-000d3af4316a,j+uAcLuMvhZ4G9npUrajves0Sly9G44SPjAAyRc5cjo+1dMl6zbrzeQ9aNYYYalxcw/Vc6qn+nVEJLa8+2QETA==,2020-08-21 18:38,Central Coast (SD49),SD49,Northern Region,0.002566089,,0.28792,049,Central Coast (SD49),Central Coast (SD49),Active,Active
81505cb1-2254-ea11-a811-000d3af4316a,MQV4vivgDGAi7smbR7N4gpx2w0sogLd82AktFRfdNBBrkNJ3jIK8DynO80njDPuhQpvIm+x8EcX0OL4DWwJf2Q==,2020-08-21 18:36,Central Okanagan (SD23),SD23,Thompson-Okanagan Region,0.033425468,,0.07517,023,Central Okanagan (SD23),Central Okanagan (SD23),Active,Active
87505cb1-2254-ea11-a811-000d3af4316a,rCxUAzHhjmyPqjnzSQuqy+cEsXvquhldvrgVKJw6PWm8g50JTua3V5jFqp6cIPHSlBBtJCn2ToUFec0G08w8uA==,2020-08-21 18:36,Chilliwack (SD33),SD33,Fraser Valley Region,0.019430517,,0.01050,033,Chilliwack (SD33),Chilliwack (SD33),Active,Active
db505cb1-2254-ea11-a811-000d3af4316a,DAee589kj0VJJbVgkmxueAncmb7eVpnImOAAoZdrCnHZNbmWvhwiXAWoXgfsPMAAS2ALCHyoKyiWm1Xh7jmjQA==,2020-08-21 18:41,Coast Mountains (SD82),SD82,Northern Region,0.013120112,,0.13550,082,Coast Mountains (SD82),Coast Mountains (SD82),Active,Active
cb505cb1-2254-ea11-a811-000d3af4316a,qJrdpQ9v1Lgw3znCjijiEvg+sE9ja5vFM5gCdVYeI9F4DlkRkwo0JEzRfZjMRqxPu8t++4elycOdrm7Sm/ircg==,2020-08-21 18:21,Comox Valley (SD71),SD71,Vancouver Island Region,0.014914630,,0.05238,071,Comox Valley (SD71),Comox Valley (SD71),Active,Active
e9505cb1-2254-ea11-a811-000d3af4316a,lSWOXpVf8+O5t5pceg0M8aFQCv7p/ytVF0trood6y3TWRQzQdNfD73Ea/+jx9aTpQ8vGMKz9SYFn7LgQvOkIQw==,2020-08-21 18:46,Conseil scolaire francophone (SD93),SD93,Metro Region,0.011924126,,,093,Conseil scolaire francophone (SD93),Conseil scolaire francophone (SD93),Active,Active
9b505cb1-2254-ea11-a811-000d3af4316a,UOMkGtjQ2Ab6AGRdVRJIWIz9VGJ/39jK5saEmbQEtCAwYjadfx2hO7GsbsUvrt1Q5jbQ/3oc8PI05/0qk7/X1Q==,2020-08-21 18:38,Coquitlam (SD43),SD43,Metro Region,0.048503706,,0.00000,043,Coquitlam (SD43),Coquitlam (SD43),Active,Active
d7505cb1-2254-ea11-a811-000d3af4316a,5v6wzozAvZ1xbxt/QtY6jAYUL6gYUnZIr3L2/g3AH4hbXj6F1tvcDi/d0FEKB7R9EDLExAkBLfVwbVIszx8lIw==,2020-08-21 18:40,Cowichan Valley (SD79),SD79,Vancouver Island Region,0.016346469,,0.03530,079,Cowichan Valley (SD79),Cowichan Valley (SD79),Active,Active
8f505cb1-2254-ea11-a811-000d3af4316a,5G5BsNKZVjR20mylUF2JbA/RWm8ds/ocF2T/ioTw/9Qv2pCnVkQU4Ag6ZDQVRzalkZOEIKoz5oNzJ4KBVV6Nuw==,2020-08-21 18:37,Delta (SD37),SD37,Metro Region,0.026172758,,0.00000,037,PO/RD Team #1,Delta (SD37),Active,Active
d9505cb1-2254-ea11-a811-000d3af4316a,X2EgnSGslGERtEM8U5V/FzDRdxQfLlrOHQJl0aJ62LkQTNxX3X/7c/XyYKU/ansElUMDR7bho6zzNfvFPLdcPA==,2020-08-21 18:40,Fort Nelson (SD81),SD81,Northern Region,0.002749941,,0.17891,081,Fort Nelson (SD81),Fort Nelson (SD81),Active,Active
d5505cb1-2254-ea11-a811-000d3af4316a,/xYilSb4bTZoalBR2en5jZhUFVr5jqSExpkojFErBsk7up4VHgDDHXU87UHTNKupOs0o5OT/ShlRd97+Va9tDQ==,2020-08-21 18:40,Fraser-Cascade (SD78),SD78,Fraser Valley Region,0.004565439,,0.01500,078,Fraser-Cascade (SD78),Fraser-Cascade (SD78),Active,Active
d1505cb1-2254-ea11-a811-000d3af4316a,CtPGgYbiC/h1qx+bZDUCrkXErX1+kpVZIedNrPV2W1gCKLh2OpeLyqZK+ngLXNN2pOspiVaW45KlEmlFTZonAQ==,2020-08-21 18:40,Gold Trail (SD74),SD74,Thompson-Okanagan Region,0.005943967,,0.06993,074,Gold Trail (SD74),Gold Trail (SD74),Active,Active
bb505cb1-2254-ea11-a811-000d3af4316a,XSx3sk/Kuyz9AJu+1u88QCDUWbigbCOQqSEwyrCQq6PXnM4WsPF2to0fPyFDSGs4SZv0UPmp2AWlYCqZj/dl1g==,2020-08-21 18:39,Greater Victoria (SD61),SD61,Vancouver Island Region,0.034486426,,0.03420,061,Greater Victoria (SD61),Greater Victoria (SD61),Active,Active
c1505cb1-2254-ea11-a811-000d3af4316a,VKSUpMPTWQNajBKSlR/9v7rpjoHOyHDQB+jNFuRwV5ZoCsplyxdOEzPj4drKgR3cTEHkJqyzfy0O1avSARcuug==,2020-08-21 18:39,Gulf Islands (SD64),SD64,Vancouver Island Region,0.004410584,,0.05483,064,Gulf Islands (SD64),Gulf Islands (SD64),Active,Active
a9505cb1-2254-ea11-a811-000d3af4316a,8rCcwVFY8Q9shlKv1mbM6IwhgwaMzXf+JWcDMVytr6SiAiNaKzZAwsyMBk5sghRL0SBw2KQhXa396SBby3a02Q==,2020-08-21 18:38,Haida Gwaii (SD50),SD50,Northern Region,0.004698344,,0.28792,050,Haida Gwaii (SD50),Haida Gwaii (SD50),Active,Active
cf505cb1-2254-ea11-a811-000d3af4316a,dIf4YiM0gcZ9u1PzRmt0Dfh1uQpxAeSOXxKEkjT0XZqeGeJFPX62+0S5pfR1ZN2frSyY6MBBUsIZOhwSz7ergA==,2020-08-21 18:40,Kamloops/Thompson (SD73),SD73,Thompson-Okanagan Region,0.029871652,,0.07517,073,Kamloops/Thompson (SD73),Kamloops/Thompson (SD73),Active,Active
77505cb1-2254-ea11-a811-000d3af4316a,unPh8velJffjxT7HSqPRrjuPHEmpT+Tq7c3iCTrq4WLWiRNYvo4cpio/zXcw0fOB/5PTjy1uybjnhK6F9msuLQ==,2020-08-21 18:35,Kootenay Lake (SD08),SD08,Kootenay-Boundary Region,0.011899589,,0.08609,008,Kootenay Lake (SD08),Kootenay Lake (SD08),Active,Active
7d505cb1-2254-ea11-a811-000d3af4316a,5zFkmcygHtMGF98qFu/Ua1+dN/q/al1N690MELYVXWUbEq6ls0kaOQUPJ9v+0Tyc52FPJ1K7M36en8dEcLjgag==,2020-08-21 18:35,Kootenay-Columbia (SD20),SD20,Kootenay-Boundary Region,0.008251220,,0.08609,020,Kootenay-Columbia (SD20),Kootenay-Columbia (SD20),Active,Active
e321cfa5-8a52-ea11-a811-000d3af42c56,gtGkYREURIODjvKcsYDxo9L3Cv95z5FD3yiuXGS7MRPTEg2ICPXZvPQkzkdKJkZHpV3dNQI3ShtYlkNOW9112g==,2020-08-21 18:36,Langley (SD35),SD35,Fraser Valley Region,0.028949184,Langley,0.00000,,Langley (SD35),Langley (SD35),Active,Active
99505cb1-2254-ea11-a811-000d3af4316a,k1JtOACauPYttLd2Dgo1W3t+qL8ckH4VyuEuofjta71h6mOEnsRqm/PJ8EEKBFADG+CdONXBv2W1cJMwiLvSDg==,2020-08-21 18:38,Maple Ridge-Pitt Meadows (SD42),SD42,Fraser Valley Region,0.022025396,,0.00000,042,Maple Ridge-Pitt Meadows (SD42),Maple Ridge-Pitt Meadows (SD42),Active,Active
d3505cb1-2254-ea11-a811-000d3af4316a,Jv3w62Z5d1y3QYGdIFvmAk9gCyAG+jMFfaeWOCdA3o09X8lRhohp19RLQUpWZpaitJEWoTAcLYgap7rn6Ag3cg==,2020-09-02 17:33,Mission (SD75),SD75,Fraser Valley Region,0.010619549,,0.00000,075,Mission (SD75),Mission (SD75),Active,Active
c5505cb1-2254-ea11-a811-000d3af4316a,wZRt15TCEF7yZcUdJsoFrrrnE9eu3AHqoh6arsPDsVfvIAR/tzTFFjhCSH4IlLXFCDL4BT1mC3hwf88wOw3Ipw==,2020-08-21 18:39,Nanaimo-Ladysmith (SD68),SD68,Vancouver Island Region,0.023648774,,0.03170,068,Nanaimo-Ladysmith (SD68),Nanaimo-Ladysmith (SD68),Active,Active
e5505cb1-2254-ea11-a811-000d3af4316a,TZzKf9BtZeKPiRcbHl6ODfTMAs/QCbdPRkYHvjQ3maM0pjOJsimuTkfwZd3yNiCgwCQwcmRXW215pSqp2oNLxw==,2020-08-21 18:41,Nechako Lakes (SD91),SD91,Northern Region,0.012318436,,0.08966,091,Nechako Lakes (SD91),Nechako Lakes (SD91),Active,Active
95505cb1-2254-ea11-a811-000d3af4316a,OF5Jaf2ne6jJRWPA+Ic6dbX6BOhLeuMsPqu37Fcl5vv2wjj6TIimg11HRx5bwwzo1mAiL6zGh93ejekq1UgzJA==,2020-09-02 17:34,New Westminster (SD40),SD40,Metro Region,0.010038998,,0.00000,040,PO/RD Team #1,New Westminster (SD40),Active,Active
b5505cb1-2254-ea11-a811-000d3af4316a,YVxMT/MhqG94zN/HTZg2OIzSViossRhk940wGEK5g30RUhAI1Rs+2jPUgnTJlMT8tZ7ToKbrRbcpGMiymCD/sA==,2020-08-21 18:39,Nicola-Similkameen (SD58),SD58,Thompson-Okanagan Region,0.005355469,,0.08609,058,Nicola-Similkameen (SD58),Nicola-Similkameen (SD58),Active,Active
e7505cb1-2254-ea11-a811-000d3af4316a,yLJccWNDkVacHTTicw88I7/r+hhBw9Ej5xfrTNWUXGQu1tDP1sjlwOfmxQoWI7VO8yaKWDilDw9VxAaEmizwpA==,2020-08-21 18:41,Nisga'a (SD92),SD92,Northern Region,0.002311283,,0.14720,092,Nisga'a (SD92),Nisga'a (SD92),Active,Active
dd505cb1-2254-ea11-a811-000d3af4316a,zzsIbQZ5XG4E7kdxosRPM7WuYRABY7GN7WF6ZOP6flKNA+3yJhXvwB6eeynruvOc07FNYJzDxUZZIPzAmZ4uRA==,2020-08-21 18:41,North Okanagan-Shuswap (SD83),SD83,Thompson-Okanagan Region,0.014574245,,0.08609,083,North Okanagan-Shuswap (SD83),North Okanagan-Shuswap (SD83),Active,Active
9d505cb1-2254-ea11-a811-000d3af4316a,XW/j5Vs6QDfFfyldObwFaLzAcmuzE+xRonoTSt61gd2U7rn8YBp3ivRZ8b81G+qFrmwlXjdVWFM4DxZ9w9Ge3w==,2020-08-21 18:38,North Vancouver (SD44),SD44,Metro Region,0.026554932,,0.00000,044,North Vancouver (SD44),North Vancouver (SD44),Active,Active
af505cb1-2254-ea11-a811-000d3af4316a,HdWC5kCOBbU55Ppt2WHDh/7t2rgeQnFTZAUz85Goz82IRMzuLg2XytP6B1dsJZRWydtE/rWBVDJz9SmuKqkzRQ==,2020-08-21 18:39,Okanagan Similkameen (SD53),SD53,Thompson-Okanagan Region,0.005356187,,0.08609,053,Okanagan Similkameen (SD53),Okanagan Similkameen (SD53),Active,Active
c3505cb1-2254-ea11-a811-000d3af4316a,tuGWTysDVNfOEkEhzNIZvA7EwfP0MyExm93l43NWDRi04E97X0+l192DltMfV3rghFXxhqB17sd36aOqQOO2CA==,2020-09-02 17:35,Okanagan Skaha (SD67),SD67,Thompson-Okanagan Region,0.011426281,,0.08609,067,Okanagan Skaha (SD67),Okanagan Skaha (SD67),Active,Active
b9505cb1-2254-ea11-a811-000d3af4316a,4iF/BHMAga6Z7O6TfLpNXp76EstN0HpGQkc7bCbvZBc/XrIDT1QBrtz//XB/w4gIAtdSO1u5yYPZPlMYBSef/g==,2020-08-21 18:39,Peace River North (SD60),SD60,Northern Region,0.012724261,,0.01237,060,Peace River North (SD60),Peace River North (SD60),Active,Active
b7505cb1-2254-ea11-a811-000d3af4316a,pcKplG6StdxVFZY4ARP99VxOV0jUmucV0Gn6LXwL/NtUbkuX7M+TCeMgvr5CZPBOVNpH2z86dAw1Ia2c/DRFYA==,2020-09-02 17:36,Peace River South (SD59),SD59,Northern Region,0.012161227,,0.11840,059,Peace River South (SD59),Peace River South (SD59),Active,Active
a3505cb1-2254-ea11-a811-000d3af4316a,bUAgcV7+1JjvSfXU184EWXPLm8q0LnXxEUrOHT/4gsx8bSFzIjHrbm2dGnxox2Aw/PYSscrJOnDAuhPKhivVdg==,2020-08-21 18:38,Powell River (SD47),SD47,Vancouver Island Region,0.005232044,,0.05675,047,Powell River (SD47),Powell River (SD47),Active,Active
b3505cb1-2254-ea11-a811-000d3af4316a,sBh+4n4Ax1LCREMuYorZR/cFOgZ+NvD0EoSyJyHWl8JDuLrt6wiLPGfohQiNi4yGfhSS7sFvVjr8bMCU7wN8uw==,2020-08-21 18:39,Prince George (SD57),SD57,Northern Region,0.028397561,,0.07780,057,Prince George (SD57),Prince George (SD57),Active,Active
ad505cb1-2254-ea11-a811-000d3af4316a,BooPTP+UwlzMnz28ZUtrJqB8yTBmYvCfA0GTF4ZZ7EIXPN5EvoIe9Qwql7Oq0F8sJ3UwOyXITSxQ/c1jfalMuA==,2020-08-21 18:39,Prince Rupert (SD52),SD52,Northern Region,0.005772714,,0.15020,052,Prince Rupert (SD52),Prince Rupert (SD52),Active,Active
c7505cb1-2254-ea11-a811-000d3af4316a,9T9W0M1jdqH3FlYbSZd3Igh/ToRo5NNFcDs4OkDPJErYlvYI9g8hT2sspPV52P4cWjkk1iS2EgV5VMzsZfcwBg==,2020-08-21 18:39,Qualicum (SD69),SD69,Vancouver Island Region,0.008484393,,0.03570,069,Qualicum (SD69),Qualicum (SD69),Active,Active
85505cb1-2254-ea11-a811-000d3af4316a,CooesOL+zJnHxdmG9hCP3sGHQPYGJAElRth94QJqTtA8Ow9TXOLpKVYPoZN1Ae5zVAelTybrM+KOIIY5xwutsA==,2020-08-21 18:36,Quesnel (SD28),SD28,Northern Region,0.007622551,,0.07513,028,Quesnel (SD28),Quesnel (SD28),Active,Active
7b505cb1-2254-ea11-a811-000d3af4316a,S9cREgE0PpZjOsL3SVkltQ+uNcCWYC2iptgpHAeKVEz8Ip2S5Gh5ARYdU8WxOWLymg9hstNGc9XQMrTP5ELfCg==,2020-08-21 18:35,Revelstoke (SD19),SD19,Thompson-Okanagan Region,0.002782141,,0.08806,019,Revelstoke (SD19),Revelstoke (SD19),Active,Active
91505cb1-2254-ea11-a811-000d3af4316a,uXiBOxlY3GbTH0+JYfUi7ErgPauiujwX1ZpdJ06De5FwO4kAPmW1NzHDtNm8+4W1M+xDpZWTuNN/wjVwdnvJGA==,2020-08-21 18:37,Richmond (SD38),SD38,Metro Region,0.035288881,,0.00000,038,PO/RD Team #1,Richmond (SD38),Active,Active
75505cb1-2254-ea11-a811-000d3af4316a,VehwwyaqfdOtogCv1Pg4C+C+APeFuzJFiwtXasEFtxsl4XAOHb1/PkHIry8FO+CIlU1L3hy7g+KHeq6H1QbYcQ==,2020-08-21 18:35,Rocky Mountain (SD06),SD06,Kootenay-Boundary Region,0.008333747,,0.10193,006,Rocky Mountain (SD06),Rocky Mountain (SD06),Active,Active
bf505cb1-2254-ea11-a811-000d3af4316a,3bGSCwvRthDmnihoia9w+ciERe1+2IAIKtgxfbvlthubFCOkgu26WNhMRtWtPDCjxx3R5JkpBqY7HiQ2pM2pYg==,2020-08-21 18:39,Saanich (SD63),SD63,Vancouver Island Region,0.013015822,,0.03290,063,Saanich (SD63),Saanich (SD63),Active,Active
a5505cb1-2254-ea11-a811-000d3af4316a,RBR9pdaYj8YGHEhCI0N8d3JpS2tLWfEACsWagTqBWErq0K7G/WJxHjzO2I0cc0nfKf+07ZR7do+ChssPk1DrOw==,2020-08-21 18:38,Sea to Sky (SD48),SD48,Metro Region,0.008135064,,0.00957,048,Sea to Sky (SD48),Sea to Sky (SD48),Active,Active
bd505cb1-2254-ea11-a811-000d3af4316a,WuQ5qmZBq+WGknPgbXVfL72ItjD2JMdW5QuRL3gP7xNdhxtI31OWnM69NjwNCxdiMVctnutsG/+Og3n5rjA+Hg==,2020-08-21 18:39,Sooke (SD62),SD62,Vancouver Island Region,0.014335206,,0.03570,062,Sooke (SD62),Sooke (SD62),Active,Active
73505cb1-2254-ea11-a811-000d3af4316a,1YGJ68VXU255FieDdmBND/kdKP6njPNKMx/sfnvSCaXrJ1eq+MVXS4aeuZ2k1zwWQCbKWNQP2STpVdlgcYMpGQ==,2020-08-21 19:36,Southeast Kootenay (SD05),SD05,Kootenay-Boundary Region,0.012214943,,0.09843,005,Southeast Kootenay (SD05),Southeast Kootenay (SD05),Active,Active
e3505cb1-2254-ea11-a811-000d3af4316a,GiVLg4A+d3sHjOW5dYZyNeYaY1l6xDNARj3jVDsJYuOtRUq6fgYcZGhROTzQip0UoG51DVks2NbqFE+ojh/d4w==,2020-08-21 18:41,Stikine (SD87),SD87,Northern Region,0.002585614,,0.20680,087,Stikine (SD87),Stikine (SD87),Active,Active
a1505cb1-2254-ea11-a811-000d3af4316a,hsENMKz8qnfFN9ZLeSavuEQDWcMxHpE+8ACs54h+povfBvZvt+QZXCDdua2WN6mAsdInr5JOHNV4Q6KfhCedTA==,2020-08-21 18:38,Sunshine Coast (SD46),SD46,Metro Region,0.008367021,,0.01710,046,Sunshine Coast (SD46),Sunshine Coast (SD46),Active,Active
8d505cb1-2254-ea11-a811-000d3af4316a,yHj00ho78A/9iC+2jcfYR7m/XJiCUfyXGkKZfsgrE1tJxpsk+2SjSUXvJ4oLdgvgfrbT9E3R35WFoN0E0b7pPQ==,2020-08-21 18:37,Surrey (SD36),SD36,Metro Region,0.100530759,,0.00000,036,PO/RD Team #1,Surrey (SD36),Active,Active
93505cb1-2254-ea11-a811-000d3af4316a,jAI+UVmJW1WWDpNRt/5Wyv/LM3nVpNLzwhGKTUHn8amMgnRobpFaATkPOTwhHXsSkoiAFsy/o1ootJBEsoyo8w==,2020-08-21 18:37,Vancouver (SD39),SD39,Metro Region,0.095251232,,0.00000,039,PO/RD Team #1,Vancouver (SD39),Active,Active
e1505cb1-2254-ea11-a811-000d3af4316a,f40l+Un0f/boTv7bU1mn4DiL9BMX1xJZct+KMEHXtDk/hZw5kx20zZp9al0RTl4HhyhC6qAx+LRpmQXOGFwcJA==,2020-08-21 18:41,Vancouver Island Region North (SD85),SD85,Vancouver Island Region,0.006315124,,0.07010,085,Vancouver Island Region North (SD85),Vancouver Island Region North (SD85),Active,Active
df505cb1-2254-ea11-a811-000d3af4316a,RS8IuiX8qsSY2XrESdfpAi0csY1kpXp+9Id45PRBILMRAi/ZazqQj+k0RawGhZcZUUJeiqgRbLj/O4+VudRk1A==,2020-08-21 18:41,Vancouver Island Region West (SD84),SD84,Vancouver Island Region,0.003371272,,0.05675,084,Vancouver Island Region West (SD84),Vancouver Island Region West (SD84),Active,Active
7f505cb1-2254-ea11-a811-000d3af4316a,p9JtOE8haH/TDqH8xz3j/ktGBo/O1byR8rSxTa5L0Hz048WG+kpVWt1kEyTfFApr/4kTIIDRqMp7btlgqwZGFw==,2020-08-21 18:36,Vernon (SD22),SD22,Thompson-Okanagan Region,0.015173506,,0.08609,022,Vernon (SD22),Vernon (SD22),Active,Active
9f505cb1-2254-ea11-a811-000d3af4316a,kMpsW7JwgCypxqMhC3ewln1oFxu69Mka0QlQPEUnCJ//aYRB74FqkJ6bWiCsvXyRTgs7tnaugMJowe3GjYKJSg==,2020-08-21 18:38,West Vancouver (SD45),SD45,Metro Region,0.011380132,,0.00000,045,West Vancouver (SD45),West Vancouver (SD45),Active,Active
